,Day,Batch Semester,Room,Group,7:30 8:20,8:20 9:10,9:10 10:00,10:00 10:50,10:50 11:40,11:40 12:30,12:30 1:20,1:20 2:05,2:05 2:50
23,Monday,"021 CMP
III ",LB 101,B,Network Theory (Lab) BP,Network Theory (Lab) BP,Network Theory (LB 101) AS,Network Theory (LB 101) AS,BREAK,Math (LB 101) BPB,Math (LB 101) BPB,DSA (Lab 4) GS+TRO,DSA (Lab 4) GS+TRO
24,Monday,"021 CMP
III ",LB 102,C,Math (LB 102) UB,Math (LB 102) UB,"
EDC (LB 102 ) AY","
EDC (LB 102 ) AY",BREAK,EEM(LB 102) LNP,EEM(LB 102) LNP,DSA (LB 102) JT,DSA (LB 102) JT
25,Monday,"021 CMP
III ",LB 102,D,Math (LB 102) UB,Math (LB 102) UB,"
EDC (LB 102 ) AY","
EDC (LB 102 ) AY",BREAK,EEM(LB 102) LNP,EEM(LB 102) LNP,DSA (LB 102) JT,DSA (LB 102) JT
26,Monday,"020 CMP 
 IV",LB 103,A,Microprocessor (L) [DKC],Microprocessor (L) [DKC],Instrumentation (L) [GA],Instrumentation (L) [GA],BREAK,Instrumentation (P) [GA],Instrumentation (P) [GA],Math (L) DRP,Math (L) DRP
27,Monday,"020 CMP 
 IV",LB 103,B,Microprocessor (L) [DKC],Microprocessor (L) [DKC],Instrumentation (L) [GA],Instrumentation (L) [GA],BREAK,DBMS Lab 3 [AKJ] [DBD],DBMS Lab 3 [AKJ] [DBD],Math (L) DRP,Math (L) DRP
28,Monday,"020 CMP 
 IV",LB 201,C,DBMS (L) [DKD],DBMS (L) [DKD],DBMS lab 3 [DKD][DBD],DBMS lab 3 [DKD][DBD],BREAK,Microprocessor (L) [DKC],Microprocessor (L) [DKC],PT (L) [BM],PT (L) [BM]
29,Monday,"020 CMP 
 IV",LB 201,D,DBMS (L) [DKD],DBMS (L) [DKD],PT lab 1 [KBS] [DD] ,PT lab 1 [KBS] [DD] ,BREAK,Microprocessor (L) [DKC],Microprocessor (L) [DKC],PT (L) [BM],PT (L) [BM]
30,Monday,"019 CMP 
 VI",LB 202,A,Embedded System [DPG],Embedded System [DPG],"ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]","ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]",BREAK,Simulation & Modeling  [SK],Simulation & Modeling  [SK],Data Communication [DD],Data Communication [DD]
31,Monday,"019 CMP 
 VI",LB 202,B,Embedded System [DPG],Embedded System [DPG],"ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]","ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]",BREAK,Simulation & Modeling  [SK],Simulation & Modeling  [SK],Data Communication [DD],Data Communication [DD]
32,Monday,"019 CMP 
 VI",LB 204,C,Simulation & Modeling  [SB],Simulation & Modeling  [SB],"ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]","ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]",BREAK,Embedded System (Lab 7) [DPG],Embedded System (Lab 7) [DPG],OOSE  [IP],OOSE  [IP]
33,Monday,"019 CMP 
 VI",LB 204,D,Simulation & Modeling  [SB],Simulation & Modeling  [SB],"ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]","ELECTIVE  
[NPD-LB PR] [MRU-LB 201] 
[BM-LB 202 ]",BREAK,OOSE (Lab 1 ) [IP][MM] ,OOSE (Lab 1 ) [IP][MM] ,OOSE  [IP],OOSE  [IP]
34,Monday,"018 CMP 
 VIII",LB 203,A,"ELECTIVE [DRP]

DRP-EE","ELECTIVE [DRP]

DRP-EE",DSAP (lab 6) [RDS],DSAP (lab 6) [RDS],BREAK,IS (L1) [DRP],IS (L1) [DRP],DSAP RDS,DSAP RDS
35,Monday,"018 CMP 
 VIII",LB 203,B,"ELECTIVE [DRP]

DRP-EE","ELECTIVE [DRP]

DRP-EE",IS (lab 7) [DRP][],IS (lab 7) [DRP][],BREAK,IS (L1) [DRP],IS (L1) [DRP],DSAP RDS,DSAP RDS
36,Tuesday,022 Comp II,022 Comp II,A,DSA GBK LB 101,DSA GBK LB 101,OOP TCS LB 102,OOP TCS LB 102,BREAK,Algebra and Geometry (UB) LB 101,Algebra and Geometry (UB) LB 101,DSA Lab 2 GBK+SuB,DSA Lab 2 GBK+SuB
37,Tuesday,022 Comp II,022 Comp II,B,DSA GBK LB 101,DSA GBK LB 101,OOP TCS LB 102,OOP TCS LB 102,BREAK,Algebra and Geometry (UB) LB 101,Algebra and Geometry (UB) LB 101,OOP Lab 1 TCS+AG,OOP Lab 1 TCS+AG
38,Tuesday,022 Comp II,SC-2,C,Algebra and Geometry (YRG) SC-2,Algebra and Geometry (YRG) SC-2,DSA NPD-SC-2,DSA NPD-SC-2,BREAK,OOP Lab 3 AG+DKD,OOP Lab 3 AG+DKD,Applied Physics Lab,Applied Physics Lab
39,Tuesday,022 Comp II,SC-2,D,Algebra and Geometry (YRG) SC-2,Algebra and Geometry (YRG) SC-2,DSA NPD-SC-2,DSA NPD-SC-2,BREAK,DSA Lab 2 NPD+ GBK,DSA Lab 2 NPD+ GBK,Applied Chemistry Lab,Applied Chemistry Lab
40,Tuesday,"021 CMP
III ",LB 101,A,Network Theory (Lab) BP,Network Theory (Lab) BP,Logic Ckt RKP (LB 101),EDC (LB 101) AY,BREAK,DSA (Lab 4) GS + JT,DSA (Lab 4) GS + JT,EDC (Lab) AY,EDC (Lab) AY
41,Tuesday,"021 CMP
III ",LB 101,B,EDC lab AY,EDC lab AY,Logic Ckt RKP (LB 101),EDC (LB 101) AY,BREAK,Logic Ckt (Lab) RKP,Logic Ckt (Lab) RKP,DSA (Lab 4) GS+JT,DSA (Lab 4) GS+JT
42,Tuesday,"021 CMP
III ",LB 102,C,DSA (LB 102) JT,DSA (LB 102) JT,DSA (Lab 4) JT + GBK,EDC (LB 101) AY,BREAK,EEM (LB 102) YRP,EEM (LB 102) YRP,Network Theory BP,Logic Ckt DPG(LB 102)
43,Tuesday,"021 CMP
III ",LB 102,D,DSA (LB 102) JT,DSA (LB 102) JT,Logic Ckt (Lab) DPG,EDC (LB 101) AY,BREAK,EEM (LB 102) YRP,EEM (LB 102) YRP,Network Theory BP,Logic Ckt DPG(LB 102)
44,Tuesday,"020 CMP 
 IV",LB 103,A,Microprocessor (L) [DKC],Microprocessor (L) [DKC],PT (L) [KBS],PT (L) [KBS],BREAK,DBMS [AKJ],DBMS [AKJ],Instrumentation (L1) [GA],Instrumentation (L1) [GA]
45,Tuesday,"020 CMP 
 IV",LB 103,B,Microprocessor (L) [DKC],Microprocessor (L) [DKC],PT (L) [KBS],PT (L) [KBS],BREAK,DBMS [AKJ],DBMS [AKJ],Instrumentation (L1) [GA],Instrumentation (L1) [GA]
46,Tuesday,"020 CMP 
 IV",LB 201,C,PT lab 1  [KBS][SuB],PT lab 1  [KBS][SuB],Math (L) DRP,Math (L) DRP,BREAK,Instrumentation (L) [GA],Instrumentation (L) [GA],Microprocessor (L) [DKC],Microprocessor (L) [DKC]
47,Tuesday,"020 CMP 
 IV",LB 201,D,Instrumentation (P) [GA],Instrumentation (P) [GA],Math (L) DRP,Math (L) DRP,BREAK,Instrumentation (L) [GA],Instrumentation (L) [GA],Microprocessor (L) [DKC],Microprocessor (L) [DKC]
48,Tuesday,"019 CMP 
 VI",LB 202,A,Embedded System  [DPG],Embedded System  [DPG],Simulation & Modeling (Lab 7) [SK][SB],Simulation & Modeling (Lab 7) [SK][SB],BREAK,Embedded System (Lab 7) [DPG],Embedded System (Lab 7) [DPG],Data Communication (L2) [DD],Data Communication (L2) [DD]
49,Tuesday,"019 CMP 
 VI",LB 202,B,Embedded System  [DPG],Embedded System  [DPG],OOSE (Lab 3 ) [MM][IP],OOSE (Lab 3 ) [MM][IP],BREAK,Data Communication (Lab 1 ) [DD][],Data Communication (Lab 1 ) [DD][],Data Communication (L2) [DD],Data Communication (L2) [DD]
50,Tuesday,"019 CMP 
 VI",LB 204,C,OOSE  [IP],OOSE  [IP],Data Communication [AKJ],Data Communication [AKJ],BREAK,Simulation & Modeling [SB],Simulation & Modeling [SB],Project,Project
51,Tuesday,"019 CMP 
 VI",LB 204,D,OOSE  [IP],OOSE  [IP],Data Communication [AKJ],Data Communication [AKJ],BREAK,Simulation & Modeling [SB],Simulation & Modeling [SB],Project,Project
52,Tuesday,"018 CMP 
 VIII",LB 203,A,O&M (L2) [DBD],O&M (L2) [DBD],"ELECTIVE[DRP]

DRP-EE","ELECTIVE[DRP]

DRP-EE",BREAK,DSAP (L2) [RDS],DSAP (L2) [RDS],SPIT (L2) [TRO],SPIT (L2) [TRO]
53,Tuesday,"018 CMP 
 VIII",LB 203,B,O&M (L2) [DBD],O&M (L2) [DBD],"ELECTIVE[DRP]

DRP-EE","ELECTIVE[DRP]

DRP-EE",BREAK,DSAP (L2) [RDS],DSAP (L2) [RDS],SPIT (L2) [TRO],SPIT (L2) [TRO]
54,Wednesday,022 Comp II,022 Comp II,A,Instrumentation  LB 204 SuB,Algebra (UB) LB 204,OOP Lab 1 TCS+AG,OOP Lab 1 TCS+AG,BREAK,Applied Chemistry Lab,Applied Chemistry Lab,"Applied Physics 
LB 204 (YRP)","Applied Chemistry 
LB 204"
55,Wednesday,022 Comp II,022 Comp II,B,Instrumentation  LB 204 SuB,Algebra (UB) LB 204,DSA Lab 2 GBK+SuB,DSA Lab 2 GBK+SuB,BREAK,Applied Physics Lab,Applied Physics Lab,"Applied Physics 
LB 204 (YRP)","Applied Chemistry 
LB 204"
56,Wednesday,022 Comp II,SC-2,C,OOP Lab 4 AG+DKD,Algebra (UB) LB 204,"Applied Physics 
SC-2 (LNP)","Applied Chemistry 
SC-2",BREAK,Applied Chemistry SC-2,"Instrumentation 
SuB SC-2",Algebra and Geometry (UB) SC-2,"Applied Chemistry 
LB 204"
